"alert__week","alert__year","alert__count","confidence__cat"
13,2020,1516,"n"
13,2020,54,"l"
13,2020,25,"h"
12,2020,54,"l"
12,2020,1581,"n"
12,2020,33,"h"
11,2020,16,"h"
11,2020,1865,"n"
11,2020,110,"l"
10,2020,33,"h"
10,2020,57,"l"
10,2020,1894,"n"
9,2020,2273,"n"
9,2020,81,"h"
9,2020,135,"l"
8,2020,39,"h"
8,2020,44,"l"
8,2020,1990,"n"
7,2020,1699,"n"
7,2020,34,"l"
7,2020,23,"h"
6,2020,1986,"n"
6,2020,64,"h"
6,2020,33,"l"
5,2020,1966,"n"
5,2020,41,"h"
5,2020,38,"l"
4,2020,15,"l"
4,2020,23,"h"
4,2020,1450,"n"
3,2020,1382,"n"
3,2020,35,"h"
3,2020,17,"l"
2,2020,1398,"n"
2,2020,30,"h"
2,2020,8,"l"
1,2020,35,"h"
1,2020,9,"l"
1,2020,1128,"n"
52,2019,45,"h"
52,2019,1812,"n"
52,2019,19,"l"
51,2019,24,"h"
51,2019,1317,"n"
51,2019,9,"l"
50,2019,33,"h"
50,2019,1487,"n"
50,2019,12,"l"
49,2019,22,"h"
49,2019,9,"l"
49,2019,1227,"n"
48,2019,31,"l"
48,2019,52,"h"
48,2019,1978,"n"
47,2019,18,"l"
47,2019,25,"h"
47,2019,1278,"n"
46,2019,1318,"n"
46,2019,7,"l"
46,2019,23,"h"
45,2019,39,"h"
45,2019,2039,"n"
45,2019,40,"l"
44,2019,47,"l"
44,2019,1964,"n"
44,2019,37,"h"
43,2019,94,"l"
43,2019,26,"h"
43,2019,1780,"n"
42,2019,70,"h"
42,2019,63,"l"
42,2019,2067,"n"
41,2019,106,"l"
41,2019,35,"h"
41,2019,2115,"n"
40,2019,2185,"n"
40,2019,227,"l"
40,2019,44,"h"
39,2019,61,"h"
39,2019,2328,"n"
39,2019,237,"l"
38,2019,228,"l"
38,2019,1934,"n"
38,2019,39,"h"
37,2019,1216,"n"
37,2019,95,"l"
37,2019,14,"h"
36,2019,51,"h"
36,2019,1939,"n"
36,2019,166,"l"
35,2019,72,"h"
35,2019,1913,"n"
35,2019,191,"l"
34,2019,81,"h"
34,2019,2033,"n"
34,2019,214,"l"
33,2019,2323,"n"
33,2019,370,"l"
33,2019,134,"h"
32,2019,348,"l"
32,2019,238,"h"
32,2019,2987,"n"
31,2019,1892,"n"
31,2019,239,"l"
31,2019,100,"h"
30,2019,128,"h"
30,2019,378,"l"
30,2019,2643,"n"
29,2019,2005,"n"
29,2019,89,"h"
29,2019,284,"l"
28,2019,321,"l"
28,2019,1846,"n"
28,2019,84,"h"
27,2019,205,"l"
27,2019,50,"h"
27,2019,1769,"n"
26,2019,176,"h"
26,2019,467,"l"
26,2019,2640,"n"
25,2019,92,"h"
25,2019,1810,"n"
25,2019,274,"l"
24,2019,1609,"n"
24,2019,130,"l"
24,2019,40,"h"
23,2019,1952,"n"
23,2019,48,"h"
23,2019,186,"l"
22,2019,172,"l"
22,2019,2296,"n"
22,2019,61,"h"
21,2019,38,"l"
21,2019,1429,"n"
21,2019,28,"h"
20,2019,230,"l"
20,2019,59,"h"
20,2019,2212,"n"
19,2019,290,"l"
19,2019,2398,"n"
19,2019,78,"h"
18,2019,40,"h"
18,2019,1662,"n"
18,2019,88,"l"
17,2019,164,"l"
17,2019,44,"h"
17,2019,1948,"n"
16,2019,39,"h"
16,2019,2095,"n"
16,2019,196,"l"
15,2019,16,"h"
15,2019,88,"l"
15,2019,1863,"n"
14,2019,1204,"n"
14,2019,17,"h"
14,2019,29,"l"
13,2019,32,"l"
13,2019,1395,"n"
13,2019,38,"h"
12,2019,20,"h"
12,2019,1529,"n"
12,2019,81,"l"
11,2019,143,"l"
11,2019,26,"h"
11,2019,2123,"n"
10,2019,38,"h"
10,2019,1570,"n"
10,2019,124,"l"
9,2019,19,"l"
9,2019,1415,"n"
9,2019,29,"h"
8,2019,1469,"n"
8,2019,12,"l"
8,2019,11,"h"
7,2019,2074,"n"
7,2019,69,"h"
7,2019,45,"l"
6,2019,44,"h"
6,2019,20,"l"
6,2019,1719,"n"
5,2019,1355,"n"
5,2019,7,"l"
5,2019,11,"h"
4,2019,1310,"n"
4,2019,6,"l"
4,2019,18,"h"
3,2019,1598,"n"
3,2019,10,"l"
3,2019,38,"h"
2,2019,34,"h"
2,2019,1449,"n"
2,2019,7,"l"
1,2019,20,"h"
1,2019,5,"l"
1,2019,1575,"n"
52,2018,50,"h"
52,2018,9,"l"
52,2018,1695,"n"
51,2018,23,"h"
51,2018,1477,"n"
51,2018,6,"l"
50,2018,13,"h"
50,2018,1583,"n"
50,2018,8,"l"
49,2018,2087,"n"
49,2018,47,"h"
49,2018,16,"l"
48,2018,1727,"n"
48,2018,6,"l"
48,2018,22,"h"
47,2018,13,"l"
47,2018,24,"h"
47,2018,1413,"n"
46,2018,1542,"n"
46,2018,10,"l"
46,2018,27,"h"
45,2018,35,"h"
45,2018,41,"l"
45,2018,2115,"n"
44,2018,1159,"n"
44,2018,14,"l"
44,2018,6,"h"
43,2018,21,"l"
43,2018,1762,"n"
43,2018,26,"h"
42,2018,6,"h"
42,2018,1635,"n"
42,2018,85,"l"
41,2018,1547,"n"
41,2018,5,"h"
41,2018,74,"l"
40,2018,40,"h"
40,2018,141,"l"
40,2018,2271,"n"
39,2018,131,"l"
39,2018,2172,"n"
39,2018,52,"h"
38,2018,30,"h"
38,2018,129,"l"
38,2018,1828,"n"
37,2018,29,"h"
37,2018,1582,"n"
37,2018,231,"l"
36,2018,2279,"n"
36,2018,103,"h"
36,2018,232,"l"
35,2018,199,"l"
35,2018,1872,"n"
35,2018,45,"h"
34,2018,1790,"n"
34,2018,29,"h"
34,2018,146,"l"
33,2018,57,"h"
33,2018,2015,"n"
33,2018,108,"l"
32,2018,66,"l"
32,2018,71,"h"
32,2018,1915,"n"
31,2018,220,"l"
31,2018,2018,"n"
31,2018,68,"h"
30,2018,1849,"n"
30,2018,66,"h"
30,2018,246,"l"
29,2018,245,"l"
29,2018,1462,"n"
29,2018,53,"h"
28,2018,223,"l"
28,2018,49,"h"
28,2018,1739,"n"
27,2018,1722,"n"
27,2018,258,"l"
27,2018,65,"h"
26,2018,2009,"n"
26,2018,74,"h"
26,2018,342,"l"
25,2018,165,"l"
25,2018,37,"h"
25,2018,2008,"n"
24,2018,194,"l"
24,2018,1769,"n"
24,2018,44,"h"
23,2018,37,"h"
23,2018,173,"l"
23,2018,1696,"n"
22,2018,26,"h"
22,2018,116,"l"
22,2018,1200,"n"
21,2018,11,"h"
21,2018,1455,"n"
21,2018,92,"l"
20,2018,68,"l"
20,2018,26,"h"
20,2018,1549,"n"
19,2018,113,"l"
19,2018,23,"h"
19,2018,1669,"n"
18,2018,1894,"n"
18,2018,34,"h"
18,2018,158,"l"
