date,target
2021-03-21 10:02:03,91
2021-03-22 10:02:03,98
2021-03-23 10:02:03,94
2021-03-24 10:02:03,89
2021-03-25 10:02:03,105
2021-03-26 10:02:03,114
2021-03-27 10:02:03,93
2021-03-28 10:02:03,86
2021-03-29 10:02:03,110
2021-03-30 10:02:03,115
2021-03-31 10:02:03,131
2021-04-01 10:02:03,112
2021-04-02 10:02:03,125
2021-04-03 10:02:03,95
2021-04-04 10:02:03,98
2021-04-05 10:02:03,117
2021-04-06 10:02:03,140
2021-04-07 10:02:03,125
2021-04-08 10:02:03,112
2021-04-09 10:02:03,135
2021-04-10 10:02:03,127
2021-04-11 10:02:03,138
2021-04-12 10:02:03,129
2021-04-13 10:02:03,154
2021-04-14 10:02:03,176
2021-04-15 10:02:03,167
2021-04-16 10:02:03,181
2021-04-17 10:02:03,163
2021-04-18 10:02:03,156
2021-04-19 10:02:03,163
2021-04-20 10:02:03,187
2021-04-21 10:02:03,182
2021-04-22 10:02:03,189
2021-04-23 10:02:03,199
2021-04-24 10:02:03,174
2021-04-25 10:02:03,186
2021-04-26 10:02:03,190
2021-04-27 10:02:03,232
2021-04-28 10:02:03,236
2021-04-29 10:02:03,286
2021-04-30 10:02:03,242
2021-05-01 10:02:03,203
2021-05-02 10:02:03,211
2021-05-03 10:02:03,195
2021-05-04 10:02:03,282
2021-05-05 10:02:03,273
2021-05-06 10:02:03,201
2021-05-07 10:02:03,219
2021-05-08 10:02:03,208
2021-05-09 10:02:03,204
2021-05-10 10:02:03,184
2021-05-11 10:02:03,195
2021-05-12 10:02:03,199
2021-05-13 10:02:03,207
2021-05-14 10:02:03,170
2021-05-15 10:02:03,135
2021-05-16 10:02:03,117
2021-05-17 10:02:03,174
2021-05-18 10:02:03,208
2021-05-19 10:02:03,203
2021-05-20 10:02:03,260
2021-05-21 10:02:03,278
2021-05-22 10:02:03,217
2021-05-23 10:02:03,209
2021-05-24 10:02:03,247
2021-05-25 10:02:03,254
2021-05-26 10:02:03,285
2021-05-27 10:02:03,280
2021-05-28 10:02:03,272
2021-05-29 10:02:03,258
2021-05-30 10:02:03,269
2021-05-31 10:02:03,188
2021-06-01 10:02:03,305
2021-06-02 10:02:03,422
2021-06-03 10:02:03,336
